"run","Tmax","mu","op","h2b"
2,10000,5000,"insertion",0.0169491525423729
3,10000,5000,"insertion",0.00645682001614205
4,10000,5000,"insertion",0.0169491525423729
5,10000,5000,"insertion",0.00645682001614205
6,10000,5000,"insertion",0.0129136400322841
7,10000,5000,"insertion",0.00161420500403551
8,10000,5000,"insertion",0.0242130750605327
9,10000,5000,"insertion",0.00403551251008878
10,10000,5000,"insertion",0.0242130750605327
1,5000,10000,"insertion",0.0104923325262308
2,5000,10000,"insertion",0.0129136400322841
3,5000,10000,"insertion",0.0169491525423729
4,5000,10000,"insertion",0.00887812752219532
5,5000,10000,"insertion",0.0153349475383374
6,5000,10000,"insertion",0.0242130750605327
7,5000,10000,"insertion",0.0185633575464084
8,5000,10000,"insertion",0.0129136400322841
9,5000,10000,"insertion",0.0129136400322841
10,5000,10000,"insertion",0.00645682001614205
1,10000,10000,"insertion",0.0242130750605327
2,10000,10000,"insertion",0.0242130750605327
3,10000,10000,"insertion",0.0129136400322841
4,10000,10000,"insertion",0.0242130750605327
5,10000,10000,"insertion",0.0185633575464084
6,10000,10000,"insertion",0.00645682001614205
7,10000,10000,"insertion",0.0104923325262308
8,10000,10000,"insertion",0.0129136400322841
9,10000,10000,"insertion",0.0169491525423729
10,10000,10000,"insertion",0.0121065375302663
