"instance","selection","crossover","mutation","popsize","pcrossover","pmutation","seed","h2b"
10,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",100,1,0.1,1,4.46153846153846
1,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",100,1,0.1,1,1.97826086956522
2,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",100,1,0.1,1,1.34782608695652
3,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",100,1,0.1,1,13.375
4,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",100,1,0.1,1,5.48
5,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",100,1,0.1,1,2.68421052631579
6,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",100,1,0.1,1,6.13333333333333
7,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",100,1,0.1,1,5
8,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",100,1,0.1,1,3.66666666666667
9,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",100,1,0.1,1,4.625
10,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",100,1,0.1,1,4.46153846153846
1,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,1.97826086956522
2,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,1.34782608695652
3,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,13.375
4,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,5.48
5,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,2.68421052631579
6,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,6.13333333333333
7,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,5
8,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,3.66666666666667
9,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,4.625
10,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,4.46153846153846
1,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,1.97826086956522
2,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,1.34782608695652
3,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,13.375
4,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,5.48
5,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,2.68421052631579
6,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,6.13333333333333
7,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,5
8,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,3.66666666666667
9,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,4.625
10,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",100,1,0.1,1,4.46153846153846
1,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,1.97826086956522
2,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,1.34782608695652
3,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,13.375
4,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,5.48
5,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,2.68421052631579
6,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,6.13333333333333
7,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,5
8,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,3.66666666666667
9,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,4.625
10,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,4.46153846153846
1,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,1.97826086956522
2,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,1.34782608695652
3,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,13.375
4,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,5.48
5,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,2.68421052631579
6,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,6.13333333333333
7,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,5
8,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,3.66666666666667
9,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,4.625
10,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",100,1,0.1,1,4.46153846153846
1,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,2.17391304347826
2,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,1.34782608695652
3,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,15
4,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,6.2
5,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,2.68421052631579
6,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,6.13333333333333
7,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,4.46153846153846
8,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,3.55555555555556
9,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,4.16666666666667
10,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,4.46153846153846
1,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,2.17391304347826
2,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,1.34782608695652
3,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,15
4,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,6.2
5,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,2.68421052631579
6,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,6.13333333333333
7,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,4.46153846153846
8,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,3.55555555555556
9,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,4.16666666666667
10,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,0.8,0.1,1,4.46153846153846
1,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,2.17391304347826
2,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,1.34782608695652
3,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,15
4,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,6.2
5,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,2.68421052631579
6,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,6.13333333333333
7,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,4.46153846153846
8,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,3.55555555555556
